gender,assignment,education,country,quiz,online_course,stipend
male,74,bachelor,Sudan,75,completed,79
female,64,masters,Nigeria,71,none,73
male,77,bachelor,Sudan,64,none,62
female,53,bachelor,Senegal,53,none,62
male,81,bachelor,Sudan,84,none,82
female,65,masters,Nigeria,62,none,64
female,50,masters,Senegal,64,completed,66
male,53,bachelor,Senegal,42,none,44
male,81,masters,Senegal,64,none,66
female,73,bachelor,Senegal,78,none,76
male,71,masters,Senegal,65,none,66
male,55,bachelor,Nigeria,54,none,59
female,72,bachelor,Cameroon,82,completed,79
female,56,bachelor,Senegal,72,completed,79
female,38,masters,Congo,45,none,49
male,69,bachelor,Sudan,63,completed,60
female,62,bachelor,Senegal,62,none,67
male,92,masters,Congo,78,none,87
female,71,bachelor,Senegal,80,none,81
female,71,bachelor,Congo,70,none,76
male,79,bachelor,Congo,72,completed,74
female,76,bachelor,Senegal,88,none,83
female,41,masters,Senegal,43,none,46
male,53,masters,Cameroon,48,none,54
male,69,masters,Sudan,61,none,66
male,67,bachelor,Sudan,67,completed,72
male,73,masters,Sudan,66,completed,68
male,69,bachelor,Sudan,57,none,58
male,79,bachelor,Senegal,78,completed,79
female,74,masters,Congo,72,none,74
male,58,bachelor,Nigeria,53,completed,57
male,30,masters,Congo,22,none,26
female,83,bachelor,Senegal,90,none,83
male,87,bachelor,Nigeria,88,completed,90
male,62,bachelor,Nigeria,56,none,63
male,81,masters,Congo,76,completed,80
female,50,bachelor,Congo,54,none,56
male,61,bachelor,Senegal,62,none,61
female,63,bachelor,Sudan,80,completed,80
male,65,masters,Cameroon,53,none,59
female,67,masters,Nigeria,79,completed,78
male,66,masters,Sudan,63,none,69
female,65,bachelor,Sudan,71,none,70
male,64,bachelor,Senegal,59,none,66
male,58,bachelor,Senegal,53,none,55
male,61,masters,Cameroon,61,completed,62
female,34,masters,Cameroon,41,completed,48
female,79,bachelor,Senegal,89,completed,92
male,44,bachelor,Nigeria,38,none,41
female,29,masters,Senegal,44,completed,40
female,68,bachelor,Senegal,84,completed,86
female,77,bachelor,Sudan,98,completed,89
female,62,bachelor,Senegal,79,none,78
male,62,masters,Cameroon,69,completed,67
female,91,bachelor,Senegal,84,none,86
female,59,masters,Nigeria,64,completed,63
female,100,bachelor,Congo,97,none,92
male,51,bachelor,Senegal,58,completed,60
